[2019-11-22 09:20:22] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2019-11-22 09:20:22] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2019-11-22 09:20:22] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1686116608]
[2019-11-22 09:20:22] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1694509312]
[2019-11-22 18:47:33] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2019-11-22 18:47:33] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2019-11-22 18:47:33] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1512548096]
[2019-11-22 18:47:33] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1504155392]
[2019-11-22 18:48:49] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2019-11-22 18:48:49] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2019-11-22 18:48:49] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[536868608]
[2019-11-22 18:48:49] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[528475904]
