[2020-01-09 23:23:54] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:54] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:54] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:54] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:54] |    StreamProcess.cpp-L0541: nFrameNum[1673] pstFrameInfo->nFrameNum[1678]
[2020-01-09 23:23:54] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:54] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:54] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:54] |    StreamProcess.cpp-L0541: nFrameNum[1678] pstFrameInfo->nFrameNum[1682]
[2020-01-09 23:23:54] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:54] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:54] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:54] |    StreamProcess.cpp-L0541: nFrameNum[1682] pstFrameInfo->nFrameNum[1686]
[2020-01-09 23:23:54] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:54] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:54] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:54] |    StreamProcess.cpp-L0541: nFrameNum[1686] pstFrameInfo->nFrameNum[1690]
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L0541: nFrameNum[1690] pstFrameInfo->nFrameNum[1694]
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L0541: nFrameNum[1694] pstFrameInfo->nFrameNum[1698]
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L0541: nFrameNum[1698] pstFrameInfo->nFrameNum[1702]
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L0541: nFrameNum[1702] pstFrameInfo->nFrameNum[1706]
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L0541: nFrameNum[1706] pstFrameInfo->nFrameNum[1710]
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L0541: nFrameNum[1710] pstFrameInfo->nFrameNum[1713]
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L0541: nFrameNum[1713] pstFrameInfo->nFrameNum[1717]
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L0541: nFrameNum[1717] pstFrameInfo->nFrameNum[1721]
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L0541: nFrameNum[1721] pstFrameInfo->nFrameNum[1725]
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L0541: nFrameNum[1725] pstFrameInfo->nFrameNum[1729]
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L0541: nFrameNum[1729] pstFrameInfo->nFrameNum[1733]
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L0541: nFrameNum[1733] pstFrameInfo->nFrameNum[1737]
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L0541: nFrameNum[1737] pstFrameInfo->nFrameNum[1741]
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L0541: nFrameNum[1741] pstFrameInfo->nFrameNum[1745]
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L0541: nFrameNum[1745] pstFrameInfo->nFrameNum[1749]
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L0541: nFrameNum[1749] pstFrameInfo->nFrameNum[1753]
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L0541: nFrameNum[1753] pstFrameInfo->nFrameNum[1757]
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-09 23:23:55] |    StreamProcess.cpp-L1471: delete one DataNode
