[2019-10-26 10:31:01] |      DriverLayer.cpp-L0552: device speed: [4]
[2019-10-26 10:31:01] |    DeviceControl.cpp-L1437: AcquisitionStart Execute Success 
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L0541: nFrameNum[0] pstFrameInfo->nFrameNum[13]
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L0541: nFrameNum[13] pstFrameInfo->nFrameNum[24]
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L0541: nFrameNum[24] pstFrameInfo->nFrameNum[35]
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L0541: nFrameNum[35] pstFrameInfo->nFrameNum[47]
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:02] |    StreamProcess.cpp-L1471: delete one DataNode
